[ALERT] 2026-02-13T08:57:18.334243 | High Connection Rate | 192.168.1.176 | Source 192.168.1.176 initiated 50 connections within 10 seconds.
[ALERT] 2026-02-13T08:57:19.604796 | High Connection Rate | 104.18.32.47 | Source 104.18.32.47 initiated 50 connections within 10 seconds.
[ALERT] 2026-02-13T08:57:19.618462 | High Connection Rate | 192.168.1.176 | Source 192.168.1.176 initiated 50 connections within 10 seconds.
[ALERT] 2026-02-13T08:58:07.659386 | High Connection Rate | 192.168.1.176 | Source 192.168.1.176 initiated 50 connections within 10 seconds.
[ALERT] 2026-02-13T08:58:08.482526 | High Connection Rate | 104.18.32.47 | Source 104.18.32.47 initiated 50 connections within 10 seconds.
[ALERT] 2026-02-13T08:58:08.956200 | High Connection Rate | 192.168.1.176 | Source 192.168.1.176 initiated 50 connections within 10 seconds.
[ALERT] 2026-02-13T08:58:10.969631 | High Connection Rate | 192.168.1.176 | Source 192.168.1.176 initiated 50 connections within 10 seconds.
[ALERT] 2026-02-13T08:58:11.090861 | High Connection Rate | 104.18.32.47 | Source 104.18.32.47 initiated 50 connections within 10 seconds.
[ALERT] 2026-02-13T08:58:16.611741 | High Connection Rate | 192.168.1.176 | Source 192.168.1.176 initiated 50 connections within 10 seconds.
[ALERT] 2026-02-13T08:58:18.364779 | High Connection Rate | 104.18.32.47 | Source 104.18.32.47 initiated 50 connections within 10 seconds.
[ALERT] 2026-02-13T08:58:18.777286 | High Connection Rate | 192.168.1.176 | Source 192.168.1.176 initiated 50 connections within 10 seconds.
[ALERT] 2026-02-13T08:58:23.789825 | High Connection Rate | 192.168.1.176 | Source 192.168.1.176 initiated 50 connections within 10 seconds.
[ALERT] 2026-02-13T08:58:47.945581 | High Connection Rate | 192.168.1.176 | Source 192.168.1.176 initiated 50 connections within 10 seconds.
[ALERT] 2026-02-13T08:58:49.184564 | High Connection Rate | 104.18.32.47 | Source 104.18.32.47 initiated 50 connections within 10 seconds.
[ALERT] 2026-02-13T08:58:50.076313 | High Connection Rate | 192.168.1.176 | Source 192.168.1.176 initiated 50 connections within 10 seconds.
[ALERT] 2026-02-13T08:59:03.522644 | High Connection Rate | 192.168.1.176 | Source 192.168.1.176 initiated 50 connections within 10 seconds.
[ALERT] 2026-02-13T08:59:11.314583 | High Connection Rate | 104.18.32.47 | Source 104.18.32.47 initiated 50 connections within 10 seconds.
[ALERT] 2026-02-14T02:10:07.496117 | High Connection Rate | 192.168.1.176 | Source 192.168.1.176 initiated 50 connections within 10 seconds.
[ALERT] 2026-02-14T02:10:09.432469 | High Connection Rate | 192.168.1.176 | Source 192.168.1.176 initiated 50 connections within 10 seconds.
[ALERT] 2026-02-14T02:11:59.328218 | High Connection Rate | 192.168.1.149 | Source 192.168.1.149 initiated 50 connections within 10 seconds.
[ALERT] 2026-02-14T02:12:03.514994 | High Connection Rate | 192.168.1.149 | Source 192.168.1.149 initiated 50 connections within 10 seconds.
[ALERT] 2026-02-14T02:12:11.085979 | High Connection Rate | 192.168.1.149 | Source 192.168.1.149 initiated 50 connections within 10 seconds.
[ALERT] 2026-02-14T02:12:20.404216 | High Connection Rate | 192.168.1.149 | Source 192.168.1.149 initiated 50 connections within 10 seconds.
[ALERT] 2026-02-14T02:12:41.292995 | High Connection Rate | 192.168.1.149 | Source 192.168.1.149 initiated 50 connections within 10 seconds.
[ALERT] 2026-02-14T02:12:45.605324 | High Connection Rate | 192.168.1.149 | Source 192.168.1.149 initiated 50 connections within 10 seconds.
